Train source aleatoric domain uncertainty	Train target aleatoric domain uncertainty	Test target aleatoric domain uncertainty	
 1.2672e-03	 1.3109e-03	 1.1298e-03	
 1.2347e-03	 1.3448e-03	 1.1481e-03	
 1.3225e-03	 1.2954e-03	 1.1818e-03	
 1.2100e-03	 1.2241e-03	 1.1275e-03	
 1.2907e-03	 1.2549e-03	 1.2165e-03	
 1.1901e-03	 1.2510e-03	 1.0918e-03	
 1.2753e-03	 1.3001e-03	 1.2185e-03	
 1.2405e-03	 1.3925e-03	 1.2736e-03	
 1.3722e-03	 1.3860e-03	 1.2645e-03	
 1.2834e-03	 1.2974e-03	 1.1812e-03	
