Train error	Test error	Train error cross	Test error cross	
 1.7104e+00	 1.7309e+00	 4.3130e-01	 5.6925e-01	
 1.7098e+00	 1.7235e+00	 4.3056e-01	 5.1888e-01	
 1.7117e+00	 1.7300e+00	 4.3331e-01	 5.4322e-01	
 1.7128e+00	 1.7303e+00	 4.3517e-01	 5.4327e-01	
 1.7102e+00	 1.7270e+00	 4.3117e-01	 5.5599e-01	
 1.7114e+00	 1.7315e+00	 4.3266e-01	 5.5396e-01	
 1.7110e+00	 1.7298e+00	 4.3164e-01	 5.6270e-01	
 1.7123e+00	 1.7254e+00	 4.3377e-01	 5.2869e-01	
 1.7092e+00	 1.7317e+00	 4.2801e-01	 5.5883e-01	
 1.7124e+00	 1.7314e+00	 4.3261e-01	 5.4903e-01	
 1.7087e+00	 1.7359e+00	 4.2889e-01	 5.5316e-01	
 1.7108e+00	 1.7294e+00	 4.3080e-01	 5.6607e-01	
 1.7109e+00	 1.7348e+00	 4.3185e-01	 5.7192e-01	
 1.7115e+00	 1.7320e+00	 4.3237e-01	 5.6918e-01	
 1.7108e+00	 1.7277e+00	 4.3171e-01	 5.4370e-01	
 1.7091e+00	 1.7332e+00	 4.2927e-01	 5.6733e-01	
 1.7095e+00	 1.7245e+00	 4.3028e-01	 5.3777e-01	
 1.7110e+00	 1.7283e+00	 4.3142e-01	 5.4157e-01	
 1.7104e+00	 1.7300e+00	 4.3149e-01	 5.2621e-01	
 1.7111e+00	 1.7253e+00	 4.3329e-01	 5.0119e-01	
 1.7115e+00	 1.7296e+00	 4.3267e-01	 5.5252e-01	
 1.7095e+00	 1.7272e+00	 4.2895e-01	 5.5404e-01	
 1.7122e+00	 1.7267e+00	 4.3479e-01	 5.2524e-01	
 1.7089e+00	 1.7303e+00	 4.2882e-01	 5.5369e-01	
 1.7102e+00	 1.7298e+00	 4.3154e-01	 5.0970e-01	
 1.7095e+00	 1.7301e+00	 4.2950e-01	 5.4554e-01	
 1.7107e+00	 1.7289e+00	 4.3238e-01	 5.5357e-01	
 1.7092e+00	 1.7314e+00	 4.2942e-01	 5.3303e-01	
 1.7097e+00	 1.7334e+00	 4.2866e-01	 5.6260e-01	
 1.7108e+00	 1.7285e+00	 4.3164e-01	 5.2699e-01	
 1.7116e+00	 1.7251e+00	 4.3162e-01	 5.4314e-01	
 1.7096e+00	 1.7232e+00	 4.2999e-01	 5.3863e-01	
 1.7086e+00	 1.7240e+00	 4.2871e-01	 5.1224e-01	
 1.7100e+00	 1.7264e+00	 4.3077e-01	 5.1787e-01	
 1.7099e+00	 1.7251e+00	 4.3040e-01	 5.3852e-01	
 1.7102e+00	 1.7272e+00	 4.3004e-01	 5.3817e-01	
 1.7103e+00	 1.7282e+00	 4.3258e-01	 4.9910e-01	
