Train source diff entropy	Train target diff entropy	Test diff entropy	
-1.1679e+02	-1.1666e+02	-1.0386e+02	
-1.1661e+02	-1.1558e+02	-1.0484e+02	
-1.1682e+02	-1.1627e+02	-1.0244e+02	
-1.1678e+02	-1.1589e+02	-1.0218e+02	
-1.1672e+02	-1.1548e+02	-1.0366e+02	
-1.1665e+02	-1.1698e+02	-1.0245e+02	
-1.1671e+02	-1.1563e+02	-1.0474e+02	
-1.1674e+02	-1.1525e+02	-1.0287e+02	
-1.1667e+02	-1.1594e+02	-1.0232e+02	
-1.1670e+02	-1.1594e+02	-1.0361e+02	
-1.1698e+02	-1.1562e+02	-1.0222e+02	
-1.1682e+02	-1.1541e+02	-1.0370e+02	
-1.1699e+02	-1.1605e+02	-1.0259e+02	
-1.1677e+02	-1.1629e+02	-1.0270e+02	
-1.1664e+02	-1.1651e+02	-1.0415e+02	
-1.1683e+02	-1.1701e+02	-1.0401e+02	
-1.1686e+02	-1.1575e+02	-1.0284e+02	
-1.1689e+02	-1.1567e+02	-1.0302e+02	
-1.1656e+02	-1.1656e+02	-1.0518e+02	
