Train source entropy	Train target entropy	Test entropy	
 1.6962e+00	 1.7366e+00	 2.0599e+00	
 1.6973e+00	 1.7720e+00	 2.0113e+00	
 1.6989e+00	 1.7207e+00	 2.0099e+00	
 1.6993e+00	 1.7253e+00	 1.9626e+00	
 1.7015e+00	 1.7446e+00	 1.9136e+00	
 1.6989e+00	 1.7329e+00	 2.0338e+00	
 1.6935e+00	 1.7392e+00	 2.0459e+00	
 1.7020e+00	 1.7610e+00	 1.9734e+00	
 1.6955e+00	 1.7161e+00	 2.0341e+00	
 1.6988e+00	 1.7508e+00	 1.9221e+00	
 1.6960e+00	 1.7584e+00	 2.0141e+00	
 1.7000e+00	 1.7512e+00	 2.0385e+00	
 1.6956e+00	 1.7491e+00	 1.9736e+00	
 1.6933e+00	 1.7582e+00	 2.0466e+00	
 1.6989e+00	 1.7557e+00	 1.9695e+00	
 1.6965e+00	 1.7394e+00	 2.0213e+00	
 1.6975e+00	 1.7270e+00	 2.0208e+00	
 1.6961e+00	 1.7313e+00	 1.9484e+00	
 1.6988e+00	 1.7182e+00	 1.9521e+00	
 1.6977e+00	 1.7492e+00	 2.0116e+00	
 1.6955e+00	 1.7472e+00	 2.0048e+00	
 1.7011e+00	 1.7245e+00	 1.8978e+00	
